"number","date","site","vencedor","perdedor","pontosVencedor","pontosPerdedor"
"I",1967-01-15,"Los Angeles Memorial Coliseum","Green Bay ","Kansas City ",35,10
"II",1968-01-14,"Orange Bowl (Miami)","Green Bay ","Oakland ",33,14
"III",1969-01-12,"Orange Bowl (Miami)","New York Jets ","Baltimore ",16,7
"IV",1970-01-11,"Tulane Stadium (New Orleans)","Kansas City ","Minnesota ",23,7
"V",1971-01-17,"Orange Bowl (Miami)","Baltimore ","Dallas ",16,13
"VI",1972-01-16,"Tulane Stadium (New Orleans)","Dallas ","Miami ",24,3
"VII",1973-01-14,"Los Angeles Memorial Coliseum","Miami ","Washington ",14,7
"VIII",1974-01-13,"Rice Stadium (Houston)","Miami ","Minnesota ",24,7
"IX",1975-01-12,"Tulane Stadium (New Orleans)","Pittsburgh ","Minnesota ",16,6
"X",1976-01-18,"Orange Bowl (Miami)","Pittsburgh ","Dallas ",21,17
"XI",1977-01-09,"Rose Bowl (Pasadena, Calif.)","Oakland ","Minnesota ",32,14
"XII",1978-01-15,"Superdome (New Orleans)","Dallas ","Denver ",27,10
"XIII",1979-01-21,"Orange Bowl (Miami)","Pittsburgh ","Dallas ",35,31
"XIV",1980-01-20,"Rose Bowl (Pasadena, Calif.)","Pittsburgh ","Los Angeles Rams ",31,19
"XV",1981-01-25,"Superdome (New Orleans)","Oakland ","Philadelphia ",27,10
"XVI",1982-01-24,"Silverdome (Pontiac, Mich.)","San Francisco ","Cincinnati ",26,21
"XVII",1983-01-30,"Rose Bowl (Pasadena, Calif.)","Washington ","Miami ",27,17
"XVIII",1984-01-22,"Tampa (Fla.) Stadium","Los Angeles Raiders ","Washington ",38,9
"XIX",1985-01-20,"Stanford (Calif.) Stadium","San Francisco ","Miami ",38,16
"XX",1986-01-26,"Superdome (New Orleans)","Chicago ","New England ",46,10
"XXI",1987-01-25,"Rose Bowl (Pasadena, Calif.)","New York Giants ","Denver ",39,20
"XXII",1988-01-31,"Jack Murphy Stadium (San Diego)","Washington ","Denver ",42,10
"XXIII",1989-01-22,"Joe Robbie Stadium (Miami)","San Francisco ","Cincinnati ",20,16
"XXIV",1990-01-28,"Superdome (New Orleans)","San Francisco ","Denver ",55,10
"XXV",1991-01-27,"Tampa (Fla.) Stadium","New York Giants ","Buffalo ",20,19
"XXVI",1992-01-26,"Metrodome (Minneapolis)","Washington ","Buffalo ",37,24
"XXVII",1993-01-31,"Rose Bowl (Pasadena, Calif.)","Dallas ","Buffalo ",52,17
"XXVIII",1994-01-30,"Georgia Dome (Atlanta)","Dallas ","Buffalo ",30,13
"XXIX",1995-01-29,"Joe Robbie Stadium (Miami)","San Francisco ","San Diego ",49,26
"XXX",1996-01-28,"Sun Devil Stadium (Tempe, Ariz.)","Dallas ","Pittsburgh ",27,17
"XXXI",1997-01-26,"Superdome (New Orleans)","Green Bay ","New England ",35,21
"XXXII",1998-01-25,"Qualcomm Stadium (San Diego)","Denver ","Green Bay ",31,24
"XXXIII",1999-01-31,"Pro Player Stadium (Miami)","Denver ","Atlanta ",34,19
"XXXIV",2000-01-30,"Georgia Dome (Atlanta)","St. Louis ","Tennessee ",23,16
"XXXV",2001-01-28,"Raymond James Stadium (Tampa, Fla.)","Baltimore ","New York Giants ",34,7
"XXXVI",2002-02-03,"Superdome (New Orleans)","New England ","St. Louis ",20,17
"XXXVII",2003-01-26,"Qualcomm Stadium (San Diego)","Tampa Bay ","Oakland ",48,21
"XXXVIII",2004-02-01,"Reliant Stadium (Houston)","New England ","Carolina ",32,29
"XXXIX",2005-02-06,"Alltel Stadium (Jacksonville, Fla.)","New England ","Philadelphia ",24,21
"XL",2006-02-05,"Ford Field (Detroit)","Pittsburgh ","Seattle ",21,10
"XLI",2007-02-04,"Dolphin Stadium (Miami)","Indianapolis ","Chicago ",29,17
"XLII",2008-02-03,"University of Phoenix Stadium (Glendale, Ariz.)","New York Giants ","New England ",17,14
"XLIII",2009-02-01,"Raymond James Stadium (Tampa, Fla.)","Pittsburgh ","Arizona ",27,23
"XLIV",2010-02-07,"Sun Life Stadium (Miami)","New Orleans ","Indianapolis ",31,17
"XLV",2011-02-06,"Cowboys Stadium (Arlington, Texas)","Green Bay ","Pittsburgh ",31,25
"XLVI",2012-02-05,"Lucas Oil Stadium (Indianapolis)","New York Giants ","New England ",21,17
"XLVII",2013-02-03,"Mercedes-Benz Superdome (New Orleans)","Baltimore ","San Francisco ",34,31
"XLVIII",2014-02-02,"MetLife Stadium (East Rutherford, N.J.)","Seattle ","Denver ",43,8
"XLIX",2015-02-01,"University of Phoenix Stadium (Glendale, Ariz.)","New England ","Seattle ",28,24
"50",2016-02-07,"Levi's Stadium (Santa Clara, Calif.)","Denver ","Carolina ",24,10
"LI",2017-02-05,"NRG Stadium (Houston)","New England ","Atlanta ",34,28
"LII",2018-02-04,"U.S. Bank Stadium (Minneapolis)","Philadelphia ","New England ",41,33
"LIII",2019-02-03,"Mercedes-Benz Stadium (Atlanta)","New England ","Los Angeles Rams ",13,3
"LIV",2020-02-02,"Hard Rock Stadium (Miami)","Kansas City ","San Francisco ",31,20
